Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
Mercedes-Benz,190-Class,1993,regular unleaded,158,6,MANUAL,rear wheel drive,4,Luxury,Compact,Sedan,25,17,617,2000
BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,35,23,3916,32850
BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,2,Luxury,Compact,Convertible,34,23,3916,38650
BMW,2 Series,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,31,20,3916,48750
BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Compact,Coupe,35,23,3916,34850
BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Luxury,Compact,Convertible,34,22,3916,40650
BMW,2 Series,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,31,20,3916,44150
BMW,2 Series,2016,premium unleaded (required),240,4,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,34,22,3916,32850
BMW,2 Series,2016,premium unleaded (required),320,6,AUTOMATIC,all wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,30,20,3916,46150
BMW,2 Series,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,30,20,3916,50750
BMW,2 Series,2017,premium unleaded (recommended),335,6,AUTOMATIC,all wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,31,21,3916,46450
BMW,2 Series,2017,premium unleaded (recommended),335,6,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,32,21,3916,49050
BMW,2 Series,2017,premium unleaded (recommended),335,6,AUTOMATIC,all wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,32,21,3916,51050
BMW,2 Series,2017,premium unleaded (recommended),335,6,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,32,21,3916,44450
BMW,2 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,34,23,3916,38950
BMW,2 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,35,24,3916,33150
BMW,2 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Compact,Coupe,33,24,3916,35150
BMW,2 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,2,Luxury,Compact,Convertible,33,23,3916,40950
Audi,200,1990,regular unleaded,162,5,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,20,16,3105,2000
Audi,200,1990,regular unleaded,162,5,MANUAL,all wheel drive,4,Luxury,Midsize,Wagon,22,15,3105,2000
Audi,200,1990,regular unleaded,162,5,MANUAL,all wheel drive,4,Luxury,Midsize,Sedan,23,15,3105,2000
Audi,200,1991,regular unleaded,217,5,MANUAL,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,22,16,3105,2000
Audi,200,1991,regular unleaded,217,5,MANUAL,all wheel drive,4,"Luxury,Performance",Midsize,Wagon,22,16,3105,2000
Audi,200,1991,regular unleaded,162,5,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,20,16,3105,2000
Chrysler,200,2015,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,25170
Chrysler,200,2015,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,23950
Chrysler,200,2015,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,29370
Chrysler,200,2015,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,21995
Chrysler,200,2015,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,36,23,1013,26625
Chrysler,200,2015,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,30825
Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,21995
Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,27795
Chrysler,200,2016,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,31785
Chrysler,200,2016,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,29905
Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,22490
Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,27570
Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,25690
Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,24490
Chrysler,200,2017,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013,29905
Chrysler,200,2017,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013,31785
Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,26685
Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,22490
Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,25690
Chrysler,200,2017,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013,30900
Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,27795
Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,21995
Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,24490
Nissan,200SX,1996,regular unleaded,115,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,36,26,2009,2000
Nissan,200SX,1996,regular unleaded,115,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,36,26,2009,2000
Nissan,200SX,1996,regular unleaded,140,4,MANUAL,front wheel drive,2,Performance,Compact,Coupe,29,21,2009,2000
Nissan,200SX,1997,regular unleaded,140,4,MANUAL,front wheel drive,2,Performance,Compact,Coupe,29,21,2009,2000
Nissan,200SX,1997,regular unleaded,115,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,35,25,2009,2000
Nissan,200SX,1997,regular unleaded,115,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,35,25,2009,2000
Nissan,200SX,1998,regular unleaded,115,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,35,25,2009,2000
Nissan,200SX,1998,regular unleaded,115,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,35,25,2009,2000
Nissan,200SX,1998,regular unleaded,140,4,MANUAL,front wheel drive,2,Performance,Compact,Coupe,28,20,2009,2073
Nissan,240SX,1996,regular unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,26,19,2009,3713
Nissan,240SX,1996,regular unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,26,19,2009,3520
Nissan,240SX,1997,regular unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,26,19,2009,3910
Nissan,240SX,1997,regular unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,26,19,2009,4182
Nissan,240SX,1997,regular unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,26,19,2009,4107
Nissan,240SX,1998,regular unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,25,20,2009,4299
Nissan,240SX,1998,regular unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,25,20,2009,4693
Nissan,240SX,1998,regular unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,25,20,2009,4107
Volvo,240,1991,regular unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Wagon,26,19,870,2000
Volvo,240,1991,regular unleaded,114,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,23,18,870,2000
Volvo,240,1991,regular unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Sedan,26,19,870,2000
Volvo,240,1992,regular unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Sedan,26,19,870,2000
Volvo,240,1992,regular unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Wagon,26,19,870,2000
Volvo,240,1992,regular unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Sedan,26,19,870,2000
Volvo,240,1993,regular unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Sedan,26,19,870,2000
Volvo,240,1993,regular unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Wagon,25,18,870,2000
Mazda,2,2012,regular unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586,16020
Mazda,2,2012,regular unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586,14530
Mazda,2,2012,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28,586,16860
Mazda,2,2012,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28,586,15370
Mazda,2,2013,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28,586,17050
Mazda,2,2013,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28,586,15560
Mazda,2,2013,regular unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586,16210
Mazda,2,2013,regular unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586,14720
Mazda,2,2014,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28,586,17050
Mazda,2,2014,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28,586,15560
Mazda,2,2014,regular unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586,16210
Mazda,2,2014,regular unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586,14720
BMW,3 Series Gran Turismo,2015,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916,47250
BMW,3 Series Gran Turismo,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,33,22,3916,41850
BMW,3 Series Gran Turismo,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,33,22,3916,41850
BMW,3 Series Gran Turismo,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,34,22,3916,43000
BMW,3 Series Gran Turismo,2016,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916,49200
BMW,3 Series Gran Turismo,2017,premium unleaded (required),320,6,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916,49650
BMW,3 Series Gran Turismo,2017,premium unleaded (required),248,4,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,33,23,3916,43950
BMW,3 Series,2015,premium unleaded (required),241,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,33,22,3916,41950
BMW,3 Series,2015,premium unleaded (required),335,6,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance,Hybrid",Midsize,Sedan,33,25,3916,50150
BMW,3 Series,2015,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,35,23,3916,37500
BMW,3 Series,2015,premium unleaded (required),300,6,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,32,21,3916,43750
BMW,3 Series,2015,diesel,180,4,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Midsize,Sedan,45,32,3916,39000
BMW,3 Series,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,33,22,3916,39500
BMW,3 Series,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,33,22,3916,39500
BMW,3 Series,2015,premium unleaded (required),180,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,35,23,3916,34950
BMW,3 Series,2015,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,30,20,3916,45750
BMW,3 Series,2015,diesel,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Wagon,43,31,3916,43450
BMW,3 Series,2015,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,35,23,3916,37500
BMW,3 Series,2015,diesel,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Sedan,43,31,3916,41000
BMW,3 Series,2015,premium unleaded (required),180,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,36,24,3916,32950
BMW,3 Series,2016,diesel,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Sedan,40,30,3916,41850
BMW,3 Series,2016,premium unleaded (required),320,6,AUTOMATIC,all wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,33,22,3916,47800
BMW,3 Series,2016,diesel,180,4,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Midsize,Sedan,42,32,3916,39850
BMW,3 Series,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,34,22,3916,38350
BMW,3 Series,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,34,22,3916,40350
BMW,3 Series,2016,premium unleaded (required),240,4,MANUAL,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,34,22,3916,38350
BMW,3 Series,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,34,22,3916,42650
BMW,3 Series,2016,premium unleaded (required),180,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,36,24,3916,33150
BMW,3 Series,2016,premium unleaded (required),180,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,35,23,3916,35150
BMW,3 Series,2016,diesel,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Wagon,40,30,3916,44150
BMW,3 Series,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,33,22,3916,45800
BMW,3 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,34,23,3916,38750
BMW,3 Series,2017,premium unleaded (recommended),180,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,34,23,3916,35450
BMW,3 Series,2017,premium unleaded (recommended),180,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,35,23,3916,33450
BMW,3 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,33,23,3916,40750
BMW,3 Series,2017,diesel,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Sedan,40,30,3916,42250
BMW,3 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,33,23,3916,42950
BMW,3 Series,2017,diesel,180,4,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Midsize,Sedan,42,32,3916,40250
BMW,3 Series,2017,premium unleaded (recommended),320,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,31,21,3916,49900
BMW,3 Series,2017,premium unleaded (recommended),320,6,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,32,21,3916,47900
BMW,3 Series,2017,diesel,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Wagon,40,30,3916,44450
Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Large,Sedan,19,15,617,2232
Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,20,15,617,2000
Mercedes-Benz,300-Class,1991,regular unleaded,158,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,22,17,617,2000
Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,20,15,617,2105
Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,18,15,617,2199
Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,22,16,617,2000
Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Large,Sedan,19,15,617,2124
Mercedes-Benz,300-Class,1991,regular unleaded,228,6,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,21,14,617,3552
Mercedes-Benz,300-Class,1991,regular unleaded,217,6,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Coupe,22,15,617,2179
Mercedes-Benz,300-Class,1991,diesel,121,5,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Midsize,Sedan,30,23,617,2000
Mercedes-Benz,300-Class,1992,diesel,121,5,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Midsize,Sedan,29,23,617,2000
Mercedes-Benz,300-Class,1992,regular unleaded,228,6,AUTOMATIC,rear wheel drive,4,Luxury,Large,Sedan,17,14,617,2377
Mercedes-Benz,300-Class,1992,regular unleaded,228,6,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,21,15,617,3814
Mercedes-Benz,300-Class,1992,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,19,15,617,2207
Mercedes-Benz,300-Class,1992,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,20,15,617,2000
Mercedes-Benz,300-Class,1992,regular unleaded,217,6,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Coupe,21,15,617,2248
Mercedes-Benz,300-Class,1992,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,22,16,617,2065
Mercedes-Benz,300-Class,1992,diesel,148,6,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Large,Sedan,22,18,617,2547
Mercedes-Benz,300-Class,1992,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,18,15,617,2282
Mercedes-Benz,300-Class,1992,regular unleaded,158,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,23,18,617,2000
Mercedes-Benz,300-Class,1993,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,19,15,617,2544
Mercedes-Benz,300-Class,1993,regular unleaded,217,6,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Coupe,22,17,617,2397
Mercedes-Benz,300-Class,1993,diesel,121,5,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Midsize,Sedan,30,23,617,2000
Mercedes-Benz,300-Class,1993,regular unleaded,228,6,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,21,14,617,4174
Mercedes-Benz,300-Class,1993,regular unleaded,217,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,22,17,617,2187
Mercedes-Benz,300-Class,1993,diesel,148,6,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Large,Sedan,22,18,617,2729
Mercedes-Benz,300-Class,1993,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,19,15,617,2433
Mercedes-Benz,300-Class,1993,regular unleaded,194,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,23,17,617,2247
Mercedes-Benz,300-Class,1993,regular unleaded,228,6,AUTOMATIC,rear wheel drive,4,Luxury,Large,Sedan,18,14,617,2540
Mitsubishi,3000GT,1997,regular unleaded,218,6,MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,23,17,436,3941
Mitsubishi,3000GT,1997,regular unleaded,161,6,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,22,17,436,3295
